id,value
Public Utilities|Natural Gas Distribution,NA
Public Utilities|Natural Gas Distribution|Altus Midstream Company Class A Common Stock(ALTM)(0.839B),ALTM
Public Utilities|Natural Gas Distribution|Antero Midstream Corporation Common Stock(AM)(3.823B),AM
Public Utilities|Natural Gas Distribution|Archrock Inc. Common Stock(AROC)(1.511B),AROC
Public Utilities|Natural Gas Distribution|Clean Energy Fuels Corp. Common Stock(CLNE)(2.785B),CLNE
Public Utilities|Natural Gas Distribution|DCP Midstream  LP Common Units(DCP)(4.367B),DCP
Public Utilities|Natural Gas Distribution|El Paso Corporation Preferred Stock(EP^C)(nan),EP^C
Public Utilities|Natural Gas Distribution|EnLink Midstream LLC Common Units representing Limited Partner Interests(ENLC)(1.985B),ENLC
Public Utilities|Natural Gas Distribution|Enable Midstream Partners LP Common Units representing limited partner interests(ENBL)(2.617B),ENBL
Public Utilities|Natural Gas Distribution|Energy Transfer LP Common Units(ET)(18.291B),ET
Public Utilities|Natural Gas Distribution|Enterprise Products Partners L.P. Common Stock(EPD)(47.085B),EPD
Public Utilities|Natural Gas Distribution|Equitrans Midstream Corporation Common Stock(ETRN)(3.040B),ETRN
Public Utilities|Natural Gas Distribution|Fusion Fuel Green PLC Class A Ordinary Shares(HTOO)(0.230B),HTOO
Public Utilities|Natural Gas Distribution|Fusion Fuel Green PLC Warrant(HTOOW)(0.000B),HTOOW
Public Utilities|Natural Gas Distribution|Kinder Morgan Inc. Common Stock(KMI)(33.469B),KMI
Public Utilities|Natural Gas Distribution|Montauk Renewables Inc. Common Stock(MNTK)(1.938B),MNTK
Public Utilities|Natural Gas Distribution|National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares(NGG)(42.363B),NGG
Public Utilities|Natural Gas Distribution|Niagara Mohawk Holdings Inc. Preferred Stock(NMK^B)(nan),NMK^B
Public Utilities|Natural Gas Distribution|Niagara Mohawk Holdings Inc. Preferred Stock(NMK^C)(nan),NMK^C
Public Utilities|Natural Gas Distribution|Rattler Midstream LP Common Units(RTLR)(1.532B),RTLR
Public Utilities|Natural Gas Distribution|Sempra Energy 5.750% Junior Subordinated Notes due 2079(SREA)(0.000B),SREA
Public Utilities|Natural Gas Distribution|Sempra Energy Common Stock(SRE)(35.848B),SRE
Public Utilities|Natural Gas Distribution|Summit Midstream Partners LP Common Units Representing Limited Partner Interests(SMLP)(0.077B),SMLP
Public Utilities|Natural Gas Distribution|TC Energy Corporation Common Stock(TRP)(42.256B),TRP
Public Utilities|Natural Gas Distribution|TC PipeLines LP Common Units representing Limited Partner Interests(TCP)(2.283B),TCP
Public Utilities|Natural Gas Distribution|Targa Resources Inc. Common Stock(TRGP)(6.767B),TRGP
Public Utilities|Natural Gas Distribution|Transportadora de Gas del Sur SA TGS Common Stock(TGS)(0.798B),TGS
