id,value
Technology|Computer Software: Prepackaged Software|Qualtrics International Inc. Class A Common Stock(XM)(22.812B),XM
Technology|Computer Software: Prepackaged Software|Qualys Inc. Common Stock(QLYS)(3.978B),QLYS
Technology|Computer Software: Prepackaged Software|Qumu Corporation Common Stock(QUMU)(0.159B),QUMU
Technology|Computer Software: Prepackaged Software|Rapid7 Inc. Common Stock(RPD)(4.276B),RPD
Technology|Computer Software: Prepackaged Software|RealPage Inc. Common Stock(RP)(8.875B),RP
Technology|Computer Software: Prepackaged Software|Red Violet Inc. Common Stock(RDVT)(0.315B),RDVT
Technology|Computer Software: Prepackaged Software|SAP  SE ADS(SAP)(153.599B),SAP
Technology|Computer Software: Prepackaged Software|SINA Corporation Ordinary Shares(SINA)(2.587B),SINA
Technology|Computer Software: Prepackaged Software|SPS Commerce Inc. Common Stock(SPSC)(3.869B),SPSC
Technology|Computer Software: Prepackaged Software|SS&C Technologies Holdings Inc. Common Stock(SSNC)(17.029B),SSNC
Technology|Computer Software: Prepackaged Software|Safe-T Group Ltd. American Depositary Share(SFET)(0.038B),SFET
Technology|Computer Software: Prepackaged Software|SailPoint Technologies Holdings Inc. Common Stock(SAIL)(5.644B),SAIL
Technology|Computer Software: Prepackaged Software|Salesforce.com Inc Common Stock(CRM)(226.690B),CRM
Technology|Computer Software: Prepackaged Software|Sapiens International Corporation N.V. Common Shares (Cayman Islands)(SPNS)(1.655B),SPNS
Technology|Computer Software: Prepackaged Software|SecureWorks Corp. Class A Common Stock(SCWX)(1.294B),SCWX
Technology|Computer Software: Prepackaged Software|ServiceNow Inc. Common Stock(NOW)(112.914B),NOW
Technology|Computer Software: Prepackaged Software|SharpSpring Inc. Common Stock(SHSP)(0.325B),SHSP
Technology|Computer Software: Prepackaged Software|Shopify Inc. Class A Subordinate Voting Shares(SHOP)(168.796B),SHOP
Technology|Computer Software: Prepackaged Software|ShotSpotter Inc. Common Stock(SSTI)(0.571B),SSTI
Technology|Computer Software: Prepackaged Software|Silver Spike Acquisition Corp. Class A Ordinary Shares(SSPK)(0.867B),SSPK
Technology|Computer Software: Prepackaged Software|Silver Spike Acquisition Corp. Units(SSPKU)(0.000B),SSPKU
Technology|Computer Software: Prepackaged Software|Silver Spike Acquisition Corp. Warrants(SSPKW)(0.000B),SSPKW
Technology|Computer Software: Prepackaged Software|Slack Technologies Inc. Class A Common Stock(WORK)(25.083B),WORK
Technology|Computer Software: Prepackaged Software|Smartsheet Inc. Class A Common Stock(SMAR)(10.120B),SMAR
Technology|Computer Software: Prepackaged Software|Smith Micro Software Inc. Common Stock(SMSI)(0.303B),SMSI
Technology|Computer Software: Prepackaged Software|Snowflake Inc. Class A Common Stock(SNOW)(82.037B),SNOW
Technology|Computer Software: Prepackaged Software|SolarWinds Corporation Common Stock(SWI)(5.018B),SWI
Technology|Computer Software: Prepackaged Software|Splunk Inc. Common Stock(SPLK)(26.951B),SPLK
